experiment_group,city,device_type,user_segment,sessions,bookings,session_to_restaurant_view_rate,restaurant_view_to_cart_rate,cart_to_checkout_rate,checkout_to_booking_rate,session_to_booking_rate,avg_order_value
treatment,Delhi,iOS,returning_user,715,141.0,79.16,49.82,64.89,77.05,19.72,411.56
control,Hyderabad,Android,high_value_user,445,86.0,80.0,48.31,68.6,72.88,19.33,416.22
treatment,Hyderabad,Android,high_value_user,425,106.0,83.29,57.06,67.33,77.94,24.94,415.47
control,Hyderabad,Android,new_user,906,95.0,67.44,39.93,57.38,67.86,10.49,420.31
treatment,Hyderabad,Android,new_user,924,115.0,69.59,46.03,56.42,68.86,12.45,409.04
control,Hyderabad,Android,returning_user,1333,198.0,70.59,46.97,63.8,70.21,14.85,426.77
treatment,Hyderabad,Android,returning_user,1280,227.0,73.13,52.46,65.17,70.94,17.73,407.05
control,Hyderabad,Web,high_value_user,74,15.0,78.38,46.55,70.37,78.95,20.27,429.11
treatment,Hyderabad,Web,high_value_user,58,13.0,82.76,54.17,61.54,81.25,22.41,402.38
control,Hyderabad,Web,new_user,143,15.0,69.93,47.0,48.94,65.22,10.49,426.21
treatment,Hyderabad,Web,new_user,156,14.0,67.31,38.1,45.0,77.78,8.97,422.45
control,Hyderabad,Web,returning_user,214,35.0,70.56,49.01,64.86,72.92,16.36,434.0
treatment,Hyderabad,Web,returning_user,212,28.0,74.53,45.57,50.0,77.78,13.21,447.88
control,Hyderabad,iOS,high_value_user,181,31.0,76.8,55.4,59.74,67.39,17.13,424.43
treatment,Hyderabad,iOS,high_value_user,167,41.0,86.83,53.79,64.1,82.0,24.55,424.46
control,Hyderabad,iOS,new_user,395,55.0,71.65,47.7,52.59,77.46,13.92,422.03
treatment,Hyderabad,iOS,new_user,413,53.0,73.61,40.46,65.04,66.25,12.83,435.31
control,Hyderabad,iOS,returning_user,608,102.0,74.51,49.89,63.72,70.83,16.78,410.29
treatment,Hyderabad,iOS,returning_user,589,91.0,75.89,46.31,59.9,73.39,15.45,414.86
control,Mumbai,Android,high_value_user,472,92.0,78.18,51.49,68.42,70.77,19.49,415.19
treatment,Mumbai,Android,high_value_user,454,137.0,82.82,58.24,74.43,84.05,30.18,410.25
control,Mumbai,Android,new_user,1084,128.0,69.0,45.99,53.78,69.19,11.81,418.75
treatment,Mumbai,Android,new_user,1072,153.0,70.99,46.78,64.89,66.23,14.27,394.96
control,Mumbai,Android,returning_user,1620,263.0,71.91,50.3,63.65,70.51,16.23,430.06
treatment,Mumbai,Android,returning_user,1488,248.0,74.19,51.63,60.0,72.51,16.67,414.28
control,Mumbai,Web,high_value_user,72,19.0,79.17,57.89,78.79,73.08,26.39,409.67
treatment,Mumbai,Web,high_value_user,82,17.0,73.17,58.33,65.71,73.91,20.73,411.68
control,Mumbai,Web,new_user,191,25.0,67.02,53.13,55.88,65.79,13.09,423.94
treatment,Mumbai,Web,new_user,198,33.0,67.17,51.88,66.67,71.74,16.67,404.8
control,Mumbai,Web,returning_user,275,34.0,67.27,48.65,55.56,68.0,12.36,381.8
treatment,Mumbai,Web,returning_user,239,46.0,73.22,51.43,67.78,75.41,19.25,402.71
control,Mumbai,iOS,high_value_user,201,51.0,82.09,58.79,72.16,72.86,25.37,390.87
treatment,Mumbai,iOS,high_value_user,211,55.0,76.3,54.04,74.71,84.62,26.07,420.63
control,Mumbai,iOS,new_user,476,56.0,68.07,43.52,60.28,65.88,11.76,414.46
treatment,Mumbai,iOS,new_user,484,61.0,73.76,48.74,61.49,57.01,12.6,391.18
control,Mumbai,iOS,returning_user,726,110.0,72.59,46.3,63.11,71.43,15.15,429.59
treatment,Mumbai,iOS,returning_user,700,115.0,76.43,48.6,63.85,69.28,16.43,417.55
control,Pune,Android,high_value_user,306,75.0,77.12,56.36,65.41,86.21,24.51,409.77
treatment,Pune,Android,high_value_user,288,63.0,79.86,53.91,67.74,75.0,21.88,420.23
control,Pune,Android,new_user,693,87.0,68.98,44.98,60.0,67.44,12.55,406.26
treatment,Pune,Android,new_user,712,98.0,70.93,44.16,61.88,71.01,13.76,416.1
control,Pune,Android,returning_user,984,150.0,72.66,47.55,59.41,74.26,15.24,412.84
treatment,Pune,Android,returning_user,1028,172.0,75.88,46.54,64.19,73.82,16.73,422.0
control,Pune,Web,high_value_user,40,6.0,77.5,51.61,50.0,75.0,15.0,407.22
treatment,Pune,Web,high_value_user,50,15.0,78.0,61.54,79.17,78.95,30.0,365.36
control,Pune,Web,new_user,113,9.0,68.14,48.05,43.24,56.25,7.96,469.57
treatment,Pune,Web,new_user,120,18.0,75.83,52.75,56.25,66.67,15.0,403.96
control,Pune,Web,returning_user,159,33.0,72.96,47.41,72.73,82.5,20.75,411.26
treatment,Pune,Web,returning_user,169,21.0,72.78,48.78,55.0,63.64,12.43,416.35
control,Pune,iOS,high_value_user,129,32.0,78.29,48.51,81.63,80.0,24.81,415.31
treatment,Pune,iOS,high_value_user,137,32.0,81.75,57.14,60.94,82.05,23.36,402.45
control,Pune,iOS,new_user,323,27.0,67.49,40.37,55.68,55.1,8.36,443.18
treatment,Pune,iOS,new_user,317,44.0,72.87,46.75,64.81,62.86,13.88,440.04
control,Pune,iOS,returning_user,469,78.0,72.71,53.37,63.74,67.24,16.63,411.85
treatment,Pune,iOS,returning_user,411,73.0,80.54,49.55,62.8,70.87,17.76,408.79
